country,year,suicides_no
Albania,1987,73
Albania,1988,63
Albania,1989,68
Albania,1992,47
Albania,1993,73
Albania,1994,50
Albania,1995,88
Albania,1996,89
Albania,1997,170
Albania,1998,154
Albania,1999,139
Albania,2000,54
Albania,2001,119
Albania,2002,133
Albania,2003,124
Albania,2004,146
Albania,2005,0
Albania,2006,0
Albania,2007,124
Albania,2008,160
Albania,2009,0
Albania,2010,96
Antigua and Barbuda,1985,0
Antigua and Barbuda,1986,0
Antigua and Barbuda,1987,0
Antigua and Barbuda,1988,0
Antigua and Barbuda,1989,0
Antigua and Barbuda,1990,1
Antigua and Barbuda,1991,0
Antigua and Barbuda,1992,0
Antigua and Barbuda,1993,1
Antigua and Barbuda,1994,0
Antigua and Barbuda,1995,0
Antigua and Barbuda,1998,0
Antigua and Barbuda,1999,0
Antigua and Barbuda,2000,2
Antigua and Barbuda,2001,2
Antigua and Barbuda,2002,0
Antigua and Barbuda,2003,1
Antigua and Barbuda,2004,2
Antigua and Barbuda,2005,0
Antigua and Barbuda,2006,0
Antigua and Barbuda,2007,1
Antigua and Barbuda,2008,0
Antigua and Barbuda,2009,0
Antigua and Barbuda,2012,0
Antigua and Barbuda,2013,0
Antigua and Barbuda,2014,0
Antigua and Barbuda,2015,1
Argentina,1985,1988
Argentina,1986,2284
Argentina,1987,2286
Argentina,1988,2354
Argentina,1989,2247
Argentina,1990,2140
Argentina,1991,1951
Argentina,1992,2184
Argentina,1993,2230
Argentina,1994,2241
Argentina,1995,2204
Argentina,1996,2229
Argentina,1997,2184
Argentina,1998,2347
Argentina,1999,2423
Argentina,2000,2774
Argentina,2001,3132
Argentina,2002,3162
Argentina,2003,3289
Argentina,2004,3121
Argentina,2005,3058
Argentina,2006,3108
Argentina,2007,2946
Argentina,2008,3059
Argentina,2009,2884
Argentina,2010,2943
Argentina,2011,2912
Argentina,2012,3248
Argentina,2013,2987
Argentina,2014,3231
Argentina,2015,3073
Armenia,1990,93
Armenia,1991,80
Armenia,1992,83
Armenia,1993,106
Armenia,1994,112
Armenia,1995,130
Armenia,1996,87
Armenia,1997,77
Armenia,1998,66
Armenia,1999,67
Armenia,2000,61
Armenia,2001,60
Armenia,2002,74
Armenia,2003,59
Armenia,2006,78
Armenia,2007,71
Armenia,2008,63
Armenia,2009,53
Armenia,2010,73
Armenia,2011,67
Armenia,2012,79
Armenia,2013,67
Armenia,2014,58
Armenia,2015,74
Armenia,2016,67
Aruba,1995,8
Aruba,1999,9
Aruba,2000,10
Aruba,2001,4
Aruba,2002,9
Aruba,2003,2
Aruba,2004,8
Aruba,2005,10
Aruba,2006,9
Aruba,2007,8
Aruba,2008,4
Aruba,2009,4
Aruba,2010,7
Aruba,2011,9
Australia,1985,1861
Australia,1986,2044
Australia,1987,2164
Australia,1988,2172
Australia,1989,2066
Australia,1990,2202
Australia,1991,2288
Australia,1992,2251
Australia,1993,2038
Australia,1994,2283
Australia,1995,2170
Australia,1996,2426
Australia,1997,2646
Australia,1998,2632
Australia,1999,2488
Australia,2000,2391
Australia,2001,2458
Australia,2002,2319
Australia,2003,2156
Australia,2004,2114
Australia,2006,2117
Australia,2007,2229
Australia,2008,2341
Australia,2009,2337
Australia,2010,2420
Australia,2011,2392
Australia,2012,2580
Australia,2013,2608
Australia,2014,2891
Australia,2015,3027
Austria,1985,2091
Austria,1986,2139
Austria,1987,2069
Austria,1988,1851
Austria,1989,1898
Austria,1990,1825
Austria,1991,1769
Austria,1992,1759
Austria,1993,1704
Austria,1994,1776
Austria,1995,1788
Austria,1996,1779
Austria,1997,1592
Austria,1998,1559
Austria,1999,1555
Austria,2000,1588
Austria,2001,1489
Austria,2002,1553
Austria,2003,1456
Austria,2004,1422
Austria,2005,1399
Austria,2006,1297
Austria,2007,1285
Austria,2008,1267
Austria,2009,1278
Austria,2010,1264
Austria,2011,1288
Austria,2012,1276
Austria,2013,1291
Austria,2014,1314
Austria,2015,1251
Austria,2016,1201
Azerbaijan,1990,114
Azerbaijan,1991,134
Azerbaijan,1992,144
Azerbaijan,1993,119
Azerbaijan,1994,47
Azerbaijan,1995,49
Azerbaijan,1996,69
Azerbaijan,1997,107
Azerbaijan,1998,56
Azerbaijan,1999,54
Azerbaijan,2000,62
Azerbaijan,2001,317
Azerbaijan,2002,92
Azerbaijan,2003,129
Azerbaijan,2004,108
Azerbaijan,2007,55
Bahamas,1985,1
Bahamas,1987,3
Bahamas,1993,7
Bahamas,1994,3
Bahamas,1995,2
Bahamas,1996,3
Bahamas,1997,2
Bahamas,1998,3
Bahamas,1999,6
Bahamas,2000,11
Bahamas,2001,1
Bahamas,2002,3
Bahamas,2003,1
Bahamas,2004,2
Bahamas,2005,4
Bahamas,2006,2
Bahamas,2007,5
Bahamas,2008,4
Bahamas,2009,6
Bahamas,2010,10
Bahamas,2011,4
Bahamas,2012,5
Bahamas,2013,5
Bahrain,1985,11
Bahrain,1987,9
Bahrain,1988,14
Bahrain,1997,0
Bahrain,1998,0
Bahrain,1999,17
Bahrain,2000,29
Bahrain,2001,23
Bahrain,2002,25
Bahrain,2003,34
Bahrain,2004,42
Bahrain,2005,42
Bahrain,2006,28
Bahrain,2007,40
Bahrain,2008,43
Bahrain,2009,36
Bahrain,2010,19
Bahrain,2011,18
Bahrain,2012,19
Bahrain,2013,5
Bahrain,2014,9
Barbados,1985,7
Barbados,1986,8
Barbados,1987,6
Barbados,1988,12
Barbados,1989,16
Barbados,1990,16
Barbados,1991,17
Barbados,1992,14
Barbados,1993,16
Barbados,1994,14
Barbados,1995,17
Barbados,2000,10
Barbados,2001,2
Barbados,2002,0
Barbados,2003,0
Barbados,2004,3
Barbados,2005,1
Barbados,2006,9
Barbados,2007,0
Barbados,2008,1
Barbados,2009,5
Barbados,2010,3
Barbados,2011,0
Barbados,2012,0
Barbados,2013,0
Belarus,1990,2085
Belarus,1991,2169
Belarus,1992,2424
Belarus,1993,2885
Belarus,1994,3153
Belarus,1995,3203
Belarus,1996,3627
Belarus,1997,3526
Belarus,1998,3556
Belarus,1999,3397
Belarus,2000,3483
Belarus,2001,3303
Belarus,2002,3291
Belarus,2003,3456
Belarus,2007,2659
Belarus,2008,2658
Belarus,2009,2743
Belarus,2010,2459
Belarus,2011,2172
Belarus,2013,1902
Belarus,2014,1741
Belgium,1985,2281
Belgium,1986,2202
Belgium,1987,2238
Belgium,1988,1996
Belgium,1989,1920
Belgium,1990,1895
Belgium,1991,1805
Belgium,1992,1878
Belgium,1993,2142
Belgium,1994,2131
Belgium,1995,2155
Belgium,1996,2013
Belgium,1997,2146
Belgium,1998,2019
Belgium,1999,1857
Belgium,2000,2143
Belgium,2001,2165
Belgium,2002,2076
Belgium,2003,2091
Belgium,2004,1987
Belgium,2005,2029
Belgium,2006,1935
Belgium,2007,1857
Belgium,2008,1999
Belgium,2009,2013
Belgium,2010,2013
Belgium,2011,2088
Belgium,2012,2026
Belgium,2013,1895
Belgium,2014,1899
Belgium,2015,1867
Belize,1986,3
Belize,1987,4
Belize,1989,1
Belize,1990,3
Belize,1991,2
Belize,1993,1
Belize,1994,8
Belize,1995,14
Belize,1996,8
Belize,1997,1
Belize,1998,12
Belize,1999,18
Belize,2000,18
Belize,2001,19
Belize,2002,14
Belize,2003,12
Belize,2004,20
Belize,2005,12
Belize,2006,11
Belize,2007,8
Belize,2008,11
Belize,2009,15
Belize,2010,15
Belize,2011,33
Belize,2012,18
Belize,2013,17
Belize,2014,24
Belize,2015,26
Bosnia and Herzegovina,2011,5
Bosnia and Herzegovina,2014,313
Brazil,1985,4228
Brazil,1986,4271
Brazil,1987,4672
Brazil,1988,4466
Brazil,1989,4463
Brazil,1990,4803
Brazil,1991,5156
Brazil,1992,5207
Brazil,1993,5508
Brazil,1994,5896
Brazil,1995,6536
Brazil,1996,6698
Brazil,1997,6891
Brazil,1998,6922
Brazil,1999,6507
Brazil,2000,6763
Brazil,2001,7710
Brazil,2002,7697
Brazil,2003,7839
Brazil,2004,7995
Brazil,2005,8529
Brazil,2006,8618
Brazil,2007,8855
Brazil,2008,9184
Brazil,2009,9346
Brazil,2010,9429
Brazil,2011,9822
Brazil,2012,10295
Brazil,2013,10513
Brazil,2014,10631
Brazil,2015,11163
Bulgaria,1985,1456
Bulgaria,1986,1408
Bulgaria,1987,1492
Bulgaria,1988,1452
Bulgaria,1989,1460
Bulgaria,1990,1323
Bulgaria,1991,1384
Bulgaria,1992,1519
Bulgaria,1993,1470
Bulgaria,1994,1464
Bulgaria,1995,1433
Bulgaria,1996,1526
Bulgaria,1997,1465
Bulgaria,1998,1503
Bulgaria,1999,1307
Bulgaria,2000,1383
Bulgaria,2001,1314
Bulgaria,2002,1317
Bulgaria,2003,1092
Bulgaria,2004,1013
Bulgaria,2005,982
Bulgaria,2006,977
Bulgaria,2007,902
Bulgaria,2008,939
Bulgaria,2009,868
Bulgaria,2010,859
Bulgaria,2011,763
Bulgaria,2012,872
Bulgaria,2013,721
Bulgaria,2014,724
Cabo Verde,2011,42
Canada,1985,3258
Canada,1986,3670
Canada,1987,3591
Canada,1988,3510
Canada,1989,3491
Canada,1990,3378
Canada,1991,3593
Canada,1992,3708
Canada,1993,3803
Canada,1994,3748
Canada,1995,3968
Canada,1996,3941
Canada,1997,3681
Canada,1998,3699
Canada,1999,4074
Canada,2000,3606
Canada,2001,3694
Canada,2002,3650
Canada,2003,3765
Canada,2004,3613
Canada,2005,3743
Canada,2006,3512
Canada,2007,3611
Canada,2008,3705
Canada,2009,3890
Canada,2010,3951
Canada,2011,3728
Canada,2012,3926
Canada,2013,4054
Chile,1985,683
Chile,1986,654
Chile,1987,693
Chile,1988,697
Chile,1989,725
Chile,1990,743
Chile,1991,787
Chile,1992,658
Chile,1993,740
Chile,1994,801
Chile,1995,930
Chile,1996,917
Chile,1997,910
Chile,1998,1031
Chile,1999,1041
Chile,2000,1473
Chile,2001,1625
Chile,2002,1603
Chile,2003,1654
Chile,2004,1735
Chile,2005,1682
Chile,2006,1795
Chile,2007,1848
Chile,2008,2088
Chile,2009,2148
Chile,2010,2001
Chile,2011,2027
Chile,2012,1841
Chile,2013,1738
Chile,2014,1789
Chile,2015,1838
Colombia,1985,1001
Colombia,1986,958
Colombia,1987,951
Colombia,1988,912
Colombia,1989,831
Colombia,1990,865
Colombia,1991,1010
Colombia,1992,1086
Colombia,1993,1085
Colombia,1994,1198
Colombia,1995,1150
Colombia,1996,1209
Colombia,1997,1242
Colombia,1998,2052
Colombia,1999,2143
Colombia,2000,2358
Colombia,2001,2412
Colombia,2002,2379
Colombia,2003,2269
Colombia,2004,2244
Colombia,2005,2102
Colombia,2006,2177
Colombia,2007,2181
Colombia,2008,2220
Colombia,2009,2249
Colombia,2010,2107
Colombia,2011,2044
Colombia,2012,2119
Colombia,2013,2068
Colombia,2014,2126
Colombia,2015,2332
Costa Rica,1985,128
Costa Rica,1986,131
Costa Rica,1987,119
Costa Rica,1988,138
Costa Rica,1989,167
Costa Rica,1990,157
Costa Rica,1991,125
Costa Rica,1992,149
Costa Rica,1993,164
Costa Rica,1994,162
Costa Rica,1995,209
Costa Rica,1996,209
Costa Rica,1997,187
Costa Rica,1998,223
Costa Rica,1999,233
Costa Rica,2000,239
Costa Rica,2001,198
Costa Rica,2002,275
Costa Rica,2003,315
Costa Rica,2004,325
Costa Rica,2005,272
Costa Rica,2006,350
Costa Rica,2007,270
Costa Rica,2008,261
Costa Rica,2009,278
Costa Rica,2010,311
Costa Rica,2011,316
Costa Rica,2012,302
Costa Rica,2013,311
Costa Rica,2014,268
Croatia,1995,929
Croatia,1996,1001
Croatia,1997,946
Croatia,1998,1029
Croatia,1999,989
Croatia,2000,926
Croatia,2001,881
Croatia,2002,874
Croatia,2003,865
Croatia,2004,871
Croatia,2005,874
Croatia,2006,796
Croatia,2007,775
Croatia,2008,793
Croatia,2009,790
Croatia,2010,776
Croatia,2011,702
Croatia,2012,776
Croatia,2013,692
Croatia,2014,722
Croatia,2015,739
Croatia,2016,683
Cuba,1992,2299
Cuba,1993,2374
Cuba,1994,2278
Cuba,1995,2222
Cuba,1996,2014
Cuba,1997,2029
Cuba,1998,2056
Cuba,1999,2050
Cuba,2000,1845
Cuba,2001,1652
Cuba,2002,1606
Cuba,2003,1499
Cuba,2004,1515
Cuba,2005,1397
Cuba,2006,1376
Cuba,2007,1307
Cuba,2008,1377
Cuba,2009,1477
Cuba,2010,1558
Cuba,2011,1529
Cuba,2012,1495
Cuba,2013,1499
Cuba,2014,1453
Cuba,2015,1511
Cyprus,1999,1
Cyprus,2000,7
Cyprus,2004,7
Cyprus,2005,17
Cyprus,2006,19
Cyprus,2007,19
Cyprus,2008,41
Cyprus,2009,32
Cyprus,2010,38
Cyprus,2011,30
Cyprus,2012,36
Cyprus,2013,45
Cyprus,2014,44
Cyprus,2015,40
Cyprus,2016,36
Czech Republic,1990,1997
Czech Republic,1991,1904
Czech Republic,1992,1991
Czech Republic,1993,1917
Czech Republic,1994,1872
Czech Republic,1995,1733
Czech Republic,1996,1568
Czech Republic,1997,1666
Czech Republic,1998,1613
Czech Republic,1999,1610
Czech Republic,2000,1649
Czech Republic,2001,1623
Czech Republic,2002,1534
Czech Republic,2003,1719
Czech Republic,2004,1583
Czech Republic,2005,1565
Czech Republic,2006,1400
Czech Republic,2007,1379
Czech Republic,2008,1379
Czech Republic,2009,1464
Czech Republic,2010,1502
Czech Republic,2011,1590
Czech Republic,2012,1658
Czech Republic,2013,1577
Czech Republic,2014,1489
Czech Republic,2015,1387
Czech Republic,2016,1318
Denmark,1994,999
Denmark,1995,924
Denmark,1996,892
Denmark,1997,817
Denmark,1998,763
Denmark,1999,762
Denmark,2000,728
Denmark,2001,727
Denmark,2002,688
Denmark,2003,633
Denmark,2004,661
Denmark,2005,631
Denmark,2006,650
Denmark,2007,581
Denmark,2008,603
Denmark,2009,622
Denmark,2010,563
Denmark,2011,589
Denmark,2012,661
Denmark,2013,610
Denmark,2014,629
Denmark,2015,564
Dominica,1985,0
Ecuador,1985,393
Ecuador,1986,377
Ecuador,1987,390
Ecuador,1988,466
Ecuador,1989,431
Ecuador,1990,448
Ecuador,1991,494
Ecuador,1992,505
Ecuador,1993,574
Ecuador,1994,512
Ecuador,1995,546
Ecuador,1996,593
Ecuador,1997,579
Ecuador,1998,546
Ecuador,1999,616
Ecuador,2000,534
Ecuador,2001,584
Ecuador,2002,577
Ecuador,2003,675
Ecuador,2004,791
Ecuador,2005,943
Ecuador,2006,900
Ecuador,2007,1005
Ecuador,2008,928
Ecuador,2009,964
Ecuador,2010,912
Ecuador,2011,918
Ecuador,2012,976
Ecuador,2013,676
Ecuador,2014,734
Ecuador,2015,1073
El Salvador,1990,571
El Salvador,1991,474
El Salvador,1992,419
El Salvador,1993,424
El Salvador,1995,620
El Salvador,1996,540
El Salvador,1997,577
El Salvador,1998,512
El Salvador,1999,515
El Salvador,2000,461
El Salvador,2001,514
El Salvador,2002,436
El Salvador,2003,527
El Salvador,2004,464
El Salvador,2005,455
El Salvador,2006,411
El Salvador,2007,501
El Salvador,2008,490
El Salvador,2009,506
El Salvador,2010,399
El Salvador,2011,485
El Salvador,2012,512
El Salvador,2013,484
El Salvador,2014,386
Estonia,1995,594
Estonia,1996,545
Estonia,1997,522
Estonia,1998,477
Estonia,1999,468
Estonia,2000,377
Estonia,2001,401
Estonia,2002,371
Estonia,2003,342
Estonia,2004,323
Estonia,2005,273
Estonia,2006,247
Estonia,2007,251
Estonia,2008,242
Estonia,2009,269
Estonia,2010,223
Estonia,2011,218
Estonia,2012,237
Estonia,2013,218
Estonia,2014,241
Estonia,2015,195
Fiji,2001,36
Fiji,2002,42
Fiji,2003,10
Fiji,2004,24
Fiji,2005,22
Fiji,2006,24
Fiji,2007,13
Fiji,2008,37
Fiji,2009,26
Fiji,2011,38
Fiji,2012,32
Finland,1987,1363
Finland,1988,1402
Finland,1989,1413
Finland,1990,1512
Finland,1991,1493
Finland,1992,1451
Finland,1993,1397
Finland,1994,1387
Finland,1995,1388
Finland,1996,1247
Finland,1997,1322
Finland,1998,1228
Finland,1999,1207
Finland,2000,1165
Finland,2001,1204
Finland,2002,1095
Finland,2003,1075
Finland,2004,1064
Finland,2005,994
Finland,2006,1062
Finland,2007,995
Finland,2008,1033
Finland,2009,1034
Finland,2010,954
Finland,2011,912
Finland,2012,873
Finland,2013,887
Finland,2014,789
Finland,2015,731
France,1985,12501
France,1986,12529
France,1987,12161
France,1988,11599
France,1989,11715
France,1990,11403
France,1991,11502
France,1992,11644
France,1993,12251
France,1994,12041
France,1995,11819
France,1996,11279
France,1997,11139
France,1998,10534
France,1999,10268
France,2000,10849
France,2001,10449
France,2002,10643
France,2003,10871
France,2004,10804
France,2005,10713
France,2006,10423
France,2007,10127
France,2008,10353
France,2009,10499
France,2010,10379
France,2011,10408
France,2012,9743
France,2013,9600
France,2014,8881
Georgia,1990,196
Georgia,1991,174
Georgia,1992,204
Georgia,1994,123
Georgia,1995,138
Georgia,1996,162
Georgia,1997,176
Georgia,1998,148
Georgia,1999,189
Georgia,2000,130
Georgia,2001,100
Georgia,2004,175
Georgia,2005,87
Georgia,2006,72
Georgia,2007,104
Georgia,2009,188
Georgia,2010,112
Georgia,2011,99
Georgia,2012,104
Georgia,2013,157
Georgia,2014,194
Georgia,2015,192
Germany,1990,13924
Germany,1991,14010
Germany,1992,13458
Germany,1993,12690
Germany,1994,12718
Germany,1995,12888
Germany,1996,12225
Germany,1997,12256
Germany,1998,11654
Germany,1999,11160
Germany,2000,11073
Germany,2001,11167
Germany,2002,11176
Germany,2003,11155
Germany,2004,10741
Germany,2005,10270
Germany,2006,9775
Germany,2007,9409
Germany,2008,9459
Germany,2009,9579
Germany,2010,10030
Germany,2011,10153
Germany,2012,9896
Germany,2013,10091
Germany,2014,10217
Germany,2015,10088
Greece,1985,405
Greece,1986,393
Greece,1987,410
Greece,1988,403
Greece,1989,383
Greece,1990,349
Greece,1991,381
Greece,1992,351
Greece,1993,412
Greece,1994,355
Greece,1995,370
Greece,1996,356
Greece,1997,374
Greece,1998,403
Greece,1999,381
Greece,2000,382
Greece,2001,334
Greece,2002,323
Greece,2003,375
Greece,2004,353
Greece,2005,400
Greece,2006,394
Greece,2007,328
Greece,2008,373
Greece,2009,391
Greece,2010,377
Greece,2011,477
Greece,2012,508
Greece,2013,533
Greece,2014,565
Greece,2015,529
Grenada,1985,1
Grenada,1988,4
Grenada,1989,4
Grenada,1990,2
Grenada,1991,0
Grenada,1992,0
Grenada,1993,3
Grenada,1994,4
Grenada,1995,1
Grenada,1996,1
Grenada,2001,0
Grenada,2002,0
Grenada,2003,4
Grenada,2004,1
Grenada,2005,6
Grenada,2006,1
Grenada,2007,3
Grenada,2008,0
Grenada,2009,0
Grenada,2010,0
Grenada,2011,1
Grenada,2012,2
Grenada,2013,0
Grenada,2014,0
Grenada,2015,0
Grenada,2016,0
Guatemala,1986,203
Guatemala,1987,241
Guatemala,1988,174
Guatemala,1989,152
Guatemala,1990,158
Guatemala,1991,156
Guatemala,1992,173
Guatemala,1993,165
Guatemala,1994,142
Guatemala,1995,211
Guatemala,1996,157
Guatemala,1997,179
Guatemala,1998,201
Guatemala,1999,234
Guatemala,2000,182
Guatemala,2001,202
Guatemala,2002,258
Guatemala,2003,253
Guatemala,2004,250
Guatemala,2005,238
Guatemala,2006,298
Guatemala,2007,327
Guatemala,2008,492
Guatemala,2009,511
Guatemala,2010,352
Guatemala,2011,359
Guatemala,2012,420
Guatemala,2013,455
Guatemala,2014,512
Guatemala,2015,494
Guyana,1988,56
Guyana,1989,94
Guyana,1990,89
Guyana,1991,105
Guyana,1992,78
Guyana,1993,72
Guyana,1994,86
Guyana,1995,99
Guyana,1996,60
Guyana,1997,40
Guyana,1998,35
Guyana,1999,163
Guyana,2001,197
Guyana,2002,176
Guyana,2003,198
Guyana,2004,186
Guyana,2005,169
Guyana,2006,201
Guyana,2007,185
Guyana,2008,168
Guyana,2009,156
Guyana,2010,205
Guyana,2011,192
Guyana,2012,206
Guyana,2013,210
Hungary,1991,3993
Hungary,1992,4000
Hungary,1993,3694
Hungary,1994,3625
Hungary,1995,3366
Hungary,1996,3436
Hungary,1997,3208
Hungary,1998,3245
Hungary,1999,3326
Hungary,2000,3269
Hungary,2001,2978
Hungary,2002,2839
Hungary,2003,2800
Hungary,2004,2742
Hungary,2005,2619
Hungary,2006,2461
Hungary,2007,2450
Hungary,2008,2476
Hungary,2009,2460
Hungary,2010,2489
Hungary,2011,2420
Hungary,2012,2349
Hungary,2013,2092
Hungary,2014,1925
Hungary,2015,1868
Hungary,2016,1761
Iceland,1985,32
Iceland,1986,37
Iceland,1987,36
Iceland,1988,35
Iceland,1989,22
Iceland,1990,40
Iceland,1991,37
Iceland,1992,28
Iceland,1993,26
Iceland,1994,25
Iceland,1995,27
Iceland,1996,33
Iceland,1997,33
Iceland,1998,30
Iceland,1999,31
Iceland,2000,50
Iceland,2001,36
Iceland,2002,30
Iceland,2003,26
Iceland,2004,35
Iceland,2005,33
Iceland,2006,32
Iceland,2007,37
Iceland,2008,38
Iceland,2009,36
Iceland,2010,46
Iceland,2011,27
Iceland,2012,37
Iceland,2013,49
Iceland,2014,44
Iceland,2015,40
Iceland,2016,40
Ireland,1985,276
Ireland,1986,282
Ireland,1987,245
Ireland,1988,266
Ireland,1989,278
Ireland,1990,334
Ireland,1991,345
Ireland,1992,362
Ireland,1993,326
Ireland,1994,394
Ireland,1995,403
Ireland,1996,408
Ireland,1997,466
Ireland,1998,498
Ireland,1999,424
Ireland,2000,463
Ireland,2001,488
Ireland,2002,449
Ireland,2003,454
Ireland,2004,464
Ireland,2005,451
Ireland,2006,452
Ireland,2007,458
Ireland,2008,506
Ireland,2009,527
Ireland,2010,486
Ireland,2011,554
Ireland,2012,542
Ireland,2013,487
Ireland,2014,486
Israel,1985,234
Israel,1986,278
Israel,1987,271
Israel,1988,303
Israel,1989,353
Israel,1990,304
Israel,1991,359
Israel,1992,381
Israel,1993,371
Israel,1994,416
Israel,1995,360
Israel,1996,306
Israel,1997,379
Israel,1998,318
Israel,1999,368
Israel,2000,394
Israel,2001,398
Israel,2002,382
Israel,2003,417
Israel,2004,411
Israel,2005,425
Israel,2006,367
Israel,2007,326
Israel,2008,354
Israel,2009,404
Israel,2010,480
Israel,2011,409
Israel,2012,430
Israel,2013,372
Israel,2014,382
Israel,2015,342
Italy,1985,4759
Italy,1986,4691
Italy,1987,4516
Italy,1988,4381
Italy,1989,4342
Italy,1990,4402
Italy,1991,4453
Italy,1992,4543
Italy,1993,4697
Italy,1994,4536
Italy,1995,4569
Italy,1996,4689
Italy,1997,4694
Italy,1998,4504
Italy,1999,4115
Italy,2000,4108
Italy,2001,4030
Italy,2002,4069
Italy,2003,4075
Italy,2004,3986
Italy,2005,3742
Italy,2006,3700
Italy,2007,3757
Italy,2008,3904
Italy,2009,3974
Italy,2010,3989
Italy,2011,4153
Italy,2012,4257
Italy,2013,4290
Italy,2014,4147
Italy,2015,3988
Jamaica,1985,8
Jamaica,1986,1
Jamaica,1987,13
Jamaica,1988,5
Jamaica,1989,0
Jamaica,1990,3
Jamaica,1991,1
Jamaica,2000,3
Jamaica,2001,5
Jamaica,2002,2
Jamaica,2003,2
Jamaica,2004,1
Jamaica,2005,51
Jamaica,2006,0
Jamaica,2009,36
Jamaica,2010,3
Jamaica,2011,50
Japan,1985,23257
Japan,1986,25484
Japan,1987,23663
Japan,1988,22676
Japan,1989,21013
Japan,1990,20002
Japan,1991,19780
Japan,1992,20756
Japan,1993,20353
Japan,1994,20744
Japan,1995,21249
Japan,1996,21967
Japan,1997,23280
Japan,1998,31458
Japan,1999,31115
Japan,2000,29989
Japan,2001,29132
Japan,2002,29715
Japan,2003,31881
Japan,2004,30034
Japan,2005,30369
Japan,2006,29769
Japan,2007,30665
Japan,2008,30073
Japan,2009,30523
Japan,2010,29411
Japan,2011,28766
Japan,2012,26338
Japan,2013,25991
Japan,2014,24357
Japan,2015,23092
Kazakhstan,1990,3172
Kazakhstan,1991,3082
Kazakhstan,1992,3356
Kazakhstan,1993,4019
Kazakhstan,1994,4024
Kazakhstan,1995,4706
Kazakhstan,1996,4773
Kazakhstan,1997,4642
Kazakhstan,1998,4313
Kazakhstan,1999,3991
Kazakhstan,2000,4428
Kazakhstan,2001,4377
Kazakhstan,2002,4240
Kazakhstan,2003,4321
Kazakhstan,2004,4394
Kazakhstan,2005,3903
Kazakhstan,2006,4076
Kazakhstan,2007,4141
Kazakhstan,2008,3997
Kazakhstan,2009,3838
Kazakhstan,2010,3609
Kazakhstan,2011,3401
Kazakhstan,2012,3240
Kazakhstan,2013,3512
Kazakhstan,2014,3119
Kazakhstan,2015,2872
Kiribati,1991,10
Kiribati,1992,4
Kiribati,1993,12
Kiribati,1994,10
Kiribati,1995,2
Kiribati,1996,6
Kiribati,1997,5
Kiribati,1998,4
Kiribati,1999,0
Kiribati,2000,0
Kiribati,2001,0
Kuwait,1985,17
Kuwait,1986,16
Kuwait,1987,16
Kuwait,1993,18
Kuwait,1994,30
Kuwait,1995,26
Kuwait,1996,30
Kuwait,1997,33
Kuwait,1998,35
Kuwait,1999,46
Kuwait,2000,34
Kuwait,2001,30
Kuwait,2002,45
Kuwait,2003,44
Kuwait,2004,45
Kuwait,2005,52
Kuwait,2006,45
Kuwait,2007,51
Kuwait,2008,47
Kuwait,2009,61
Kuwait,2010,39
Kuwait,2011,41
Kuwait,2012,56
Kuwait,2013,41
Kuwait,2014,68
Kyrgyzstan,1990,547
Kyrgyzstan,1991,543
Kyrgyzstan,1992,491
Kyrgyzstan,1993,563
Kyrgyzstan,1994,581
Kyrgyzstan,1995,605
Kyrgyzstan,1996,480
Kyrgyzstan,1997,496
Kyrgyzstan,1998,509
Kyrgyzstan,1999,556
Kyrgyzstan,2000,510
Kyrgyzstan,2001,560
Kyrgyzstan,2002,567
Kyrgyzstan,2003,479
Kyrgyzstan,2004,438
Kyrgyzstan,2005,470
Kyrgyzstan,2006,463
Kyrgyzstan,2007,482
Kyrgyzstan,2008,473
Kyrgyzstan,2009,458
